Trading Date,Interval Number,Trading Interval,Participant Code,Facility Code,Energy Generated (MWh),EOI Quantity (MW),Extracted At
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_GER","TESLA_GERALDTON_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_KEM","TESLA_KEMERTON_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_NOR","TESLA_NORTHAM_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TSLA_MGT","TESLA_PICTON_G1",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"TIWEST","TIWEST_COG1",6.906,13.587,
"2022-09-01",2,2022-09-01 08:30:00,"WARADGE","WARRADARGE_WF1",55.699,107.13,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","WEST_KALGOORLIE_GT2",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"WPGENER","WEST_KALGOORLIE_GT3",0,0,
"2022-09-01",2,2022-09-01 08:30:00,"ALINTA","YANDIN_WF1",60.606,113.2,
"2022-09-01",3,2022-09-01 09:00:00,"ALBGRAS","ALBANY_WF1",0.764,1.46,
"2022-09-01",3,2022-09-01 09:00:00,"ALCOA","ALCOA_WGP",0,1.4,
"2022-09-01",3,2022-09-01 09:00:00,"ALINTA","ALINTA_PNJ_U1",12.572,7.845,
"2022-09-01",3,2022-09-01 09:00:00,"ALINTA","ALINTA_PNJ_U2",12.489,6.6,
"2022-09-01",3,2022-09-01 09:00:00,"ALINTA","ALINTA_WGP_GT",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"ALINTA","ALINTA_WGP_U2",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"ALINTA","ALINTA_WWF",19.421,39.7,
"2022-09-01",3,2022-09-01 09:00:00,"MPOWER","AMBRISOLAR_PV1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"PERTHNRGY","ATLAS",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"ALINTA","BADGINGARRA_WF1",65.02,129.93,
"2022-09-01",3,2022-09-01 09:00:00,"CTE","BIOGAS01",0.118,0.414,
"2022-09-01",3,2022-09-01 09:00:00,"BLAIRFOX","BLAIRFOX_BEROSRD_WF1",0.724,2.72,
"2022-09-01",3,2022-09-01 09:00:00,"BLAIRFOX","BLAIRFOX_KARAKIN_WF1",0.62,0.804,
"2022-09-01",3,2022-09-01 09:00:00,"BLAIRFOX","BLAIRFOX_WESTHILLS_WF3",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","BREMER_BAY_WF1",0.057,0.12,
"2022-09-01",3,2022-09-01 09:00:00,"GRIFFINP","BW1_BLUEWATERS_G2",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"GRIFFIN2","BW2_BLUEWATERS_G1",51.642,103,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","COCKBURN_CCG1",116.688,257,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","COLLIE_G1",56.815,111.566,
"2022-09-01",3,2022-09-01 09:00:00,"DCWL","DCWL_DENMARK_WF1",0.026,0.099,
"2022-09-01",3,2022-09-01 09:00:00,"EDWFMAN","EDWFMAN_WF1",37.973,74.86,
"2022-09-01",3,2022-09-01 09:00:00,"PERTHNRGY","GOSNELLS",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"ALBGRAS","GRASMERE_WF1",0.414,0.8,
"2022-09-01",3,2022-09-01 09:00:00,"GRENOUGH","GREENOUGH_RIVER_PV1",15.173,31.2,
"2022-09-01",3,2022-09-01 09:00:00,"WGRES","HENDERSON_RENEWABLE_IG1",0.59,1.179,
"2022-09-01",3,2022-09-01 09:00:00,"COLLGAR","INVESTEC_COLLGAR_WF1",1.849,0,
"2022-09-01",3,2022-09-01 09:00:00,"LNDFLLGP","KALAMUNDA_SG",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","KALBARRI_WF1",0.419,0.852,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","KEMERTON_GT11",20.534,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","KEMERTON_GT12",43.804,87.9,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","KWINANA_GT2",48.818,97.4,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","KWINANA_GT3",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"SUNAUST22","MERSOLAR_PV1",48.927,97.69,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","MUJA_G5",47.428,94.118,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","MUJA_G6",42.927,84.333,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","MUJA_G7",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","MUJA_G8",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","MUNGARRA_GT1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","MUNGARRA_GT3",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"MUMBIDA","MWF_MUMBIDA_WF1",27.298,52.5,
"2022-09-01",3,2022-09-01 09:00:00,"MERREDIN","NAMKKN_MERR_SG1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"NEWGEN","NEWGEN_KWINANA_CCG1",90.166,175.68,
"2022-09-01",3,2022-09-01 09:00:00,"NGENEERP","NEWGEN_NEERABUP_GT1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"NSFPTNRS","NORTHAM_SF_PV1",0.04,0.079,
"2022-09-01",3,2022-09-01 09:00:00,"WENERGY","PERTHENERGY_KWINANA_GT1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT10",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT11",24.053,22.87,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT2",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT3",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT4",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT5",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT7",5.963,11.39,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","PINJAR_GT9",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"GLDFLDPW","PRK_AG",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"LNDFLLGP","RED_HILL",1.698,3.343,
"2022-09-01",3,2022-09-01 09:00:00,"PERTHNRGY","ROCKINGHAM",0.629,1.252,
"2022-09-01",3,2022-09-01 09:00:00,"MBARKER","SKYFRM_MTBARKER_WF1",0.069,0.095,
"2022-09-01",3,2022-09-01 09:00:00,"PERTHNRGY","SOUTH_CARDUP",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"STHRNCRS","STHRNCRS_EG",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"LNDFLLGP","TAMALA_PARK",1.822,3.645,
"2022-09-01",3,2022-09-01 09:00:00,"TSLA_GER","TESLA_GERALDTON_G1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"TSLA_KEM","TESLA_KEMERTON_G1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"TSLA_NOR","TESLA_NORTHAM_G1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"TSLA_MGT","TESLA_PICTON_G1",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"TIWEST","TIWEST_COG1",6.887,13.614,
"2022-09-01",3,2022-09-01 09:00:00,"WARADGE","WARRADARGE_WF1",25.396,49.13,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","WEST_KALGOORLIE_GT2",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"WPGENER","WEST_KALGOORLIE_GT3",0,0,
"2022-09-01",3,2022-09-01 09:00:00,"ALINTA","YANDIN_WF1",60.037,123.95,
"2022-09-01",4,2022-09-01 09:30:00,"ALBGRAS","ALBANY_WF1",0.892,0.56,
"2022-09-01",4,2022-09-01 09:30:00,"ALCOA","ALCOA_WGP",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"ALINTA","ALINTA_PNJ_U1",10.551,12.648,
"2022-09-01",4,2022-09-01 09:30:00,"ALINTA","ALINTA_PNJ_U2",13.544,18.6,
"2022-09-01",4,2022-09-01 09:30:00,"ALINTA","ALINTA_WGP_GT",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"ALINTA","ALINTA_WGP_U2",0,0,
